id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
3730,KNIP,medium_airport,Jacksonville Naval Air Station (Towers Field),30.2358,-81.680603,21,NA_,US,US-FL,Jacksonville,no,KNIP,NIP,NIP,,https://en.wikipedia.org/wiki/Naval_Air_Station_Jacksonville,
333093,WITK,medium_airport,Rembele Airport,4.720833,96.849444,4648,AS,ID,ID-AC,Takengon,yes,WITK,TXE,,,https://en.wikipedia.org/wiki/Rembele_Airport,
325095,US-0682,small_airport,J5 Mike Airport,34.666347,-86.222286,680,NA_,US,US-AL,Woodville,no,4AL5,,4AL5,,,
22882,ND65,small_airport,Letzring Airport,46.98889923,-101.3539963,2230,NA_,US,US-ND,Center,no,ND65,,ND65,,,
334877,BR-0680,heliport,André Guimarães Helipad,-12.875365,-38.308721,197,SA,BR,BR-BA,Lauro de Freitas,no,SWGK,,BA0230,,,
35413,AR-0018,small_airport,Villa Mercedes Airport,-33.640858,-65.420074,1689,SA,AR,AR-D,Villa Mercedes,no,,,CED,,,
12102,56OR,heliport,Mount Hood Medical Center Heliport,45.51593669,-122.4064493,338,NA_,US,US-OR,Gresham,no,56OR,,56OR,,https://en.wikipedia.org/wiki/Mount_Hood_Medical_Center_Heliport,
3675,KMEM,large_airport,Memphis International Airport,35.04240036,-89.97669983,341,NA_,US,US-TN,Memphis,yes,KMEM,MEM,MEM,,https://en.wikipedia.org/wiki/Memphis_International_Airport,
21957,ME26,closed,Super Cub Field,43.668098,-70.363098,85,NA_,US,US-ME,Westbrook,no,,,,,,ME26
8931,23CA,small_airport,Lefko Airport,41.62490082,-122.7649994,2860,NA_,US,US-CA,Fort Jones,no,23CA,,23CA,,,
316039,GB-0199,small_airport,Sittles Farm Airstrip,52.7071274,-1.7500554,,EU,GB,GB-ENG,,no,,,,,,
325460,KXNI,small_airport,Andrew Othole Memorial Airport,35.060675,-108.9376,6370,NA_,US,US-NM,Zuni,no,KXNI,,XNI,,,Zuni Pueblo - Replacement
333517,MX-1165,small_airport,Las Trancas Airstrip,24.749131,-106.636391,3445,NA_,MX,MX-DUR,Tamazula,no,,,LTQ,,,
26575,VISA,medium_airport,Sirsa Air Force Station,29.56060028,75.00610352,650,AS,IN,IN-HR,,no,VISA,,,,,
40913,SK-421,small_airport,Hato De Opia Airport,4.421667,-75.083056,2601,SA,CO,CO-TOL,Ibague,no,,,HOP,,,
4349,LIMW,medium_airport,Aosta Airport,45.738499,7.36872,1791,EU,IT,IT-23,Aosta,yes,LIMW,AOT,AO01,http://www.avda-aosta.it/,https://en.wikipedia.org/wiki/Aosta_Airport,
329701,OK78,small_airport,Delozier Airport,36.559107,-95.431694,750,NA_,US,US-OK,Chelsea,no,OK78,,OK78,,,
9328,2B2,small_airport,Plum Island Airport,42.79589844,-70.84120178,11,NA_,US,US-MA,Newburyport,no,2B2,,2B2,,,
18523,K1V8,small_airport,Leach Airport,37.78469849,-106.038002,7598,NA_,US,US-CO,Center,no,K1V8,,1V8,,,
15134,8OR0,heliport,Danielson Heliport,45.53340149,-122.9550018,204,NA_,US,US-OR,Hillsboro,no,8OR0,,8OR0,,,
319429,IT-0278,small_airport,Aviosuperficie Falcone,41.101343,15.871805,498,EU,IT,IT-77,Lavello (PZ),no,,,PZLAV,,,
27661,YJVS,small_airport,Jervois Airport,-22.91329956,136.1199951,331,OC,AU,AU-NT,,no,YJVS,,,,,
12733,5WI3,small_airport,Der Schwarzwald Airport,43.20780182,-89.01709747,925,NA_,US,US-WI,Waterloo,no,5WI3,,5WI3,,,
640,CAS2,small_airport,Moose Lake (Lodge) Airport,53.07329941,-125.4089966,3500,NA_,CA,CA-BC,Moose Lake,no,CAS2,,CAS2,,https://en.wikipedia.org/wiki/Moose_Lake_(Lodge)_Airport,AS2
25677,WA85,heliport,Weyerhaeuser Heliport,47.2981987,-122.2979965,409,NA_,US,US-WA,Auburn,no,WA85,,WA85,,,
328874,MX-0802,small_airport,Tecolotlan Airstrip,20.19999,-104.082292,4150,NA_,MX,MX-JAL,Tecolotlan,no,,,TEO,,,
6486,UKON,medium_airport,Mykolaiv International Airport,47.05789948,31.9197998,184,EU,UA,UA-48,Nikolayev,no,UKON,NLV,,http://www.airport.nikolaev.ua/,https://en.wikipedia.org/wiki/Mykolaiv_Airport,"Nikolayev Airport, Nikolaev Airport, Аэропорт Николаев"
19924,KGAS,small_airport,Gallia Meigs Regional Airport,38.83409882,-82.16339874,566,NA_,US,US-OH,Gallipolis,no,KGAS,,GAS,,,
25451,VG16,small_airport,Collins Airport,36.62509918,-80.17060089,1100,NA_,US,US-VA,Patrick Springs,no,VG16,,VG16,,,
31375,FZFJ,small_airport,Goyongo Airport,4.183000088,19.78300095,1640,AF,CD,CD-EQ,Goyongo,no,FZFJ,,,,,
7732,11NY,small_airport,Saikkonen Airport,42.20899963,-76.4496994,969,NA_,US,US-NY,Spencer,no,11NY,,11NY,,,
395,SNSS,small_airport,Salinas Airport,-16.20829964,-42.3219986,2504,SA,BR,BR-MG,Salinas,no,SNSS,,SNSS,,,
8495,1MT7,small_airport,Prill Field,47.42110062,-111.1589966,3420,NA_,US,US-MT,Sand Coulee,no,1MT7,,1MT7,,,
3973,LAVL,medium_airport,Vlorë Air Base,40.47610092,19.4741993,3,EU,AL,AL-12,Vlorë,no,LAVL,,,,,Vlora Air Base
16389,AZ01,small_airport,Outback Ranch Airstrip,33.847732,-113.57106,1980,NA_,US,US-AZ,Wenden,no,AZ01,,AZ01,,,
330693,10NR,heliport,CHS Union Heliport,34.976678,-80.522055,581,NA_,US,US-NC,Monroe,no,10NR,,10NR,,,
31890,YMOT,small_airport,Moreton Airport,-12.44419956,142.6380005,,OC,AU,AU-QLD,Moreton,no,YMOT,MET,,,,
1193,CKJ9,small_airport,Lemberg Airport,50.70890045,-103.1969986,2050,NA_,CA,CA-SK,Lemberg,no,CKJ9,,CKJ9,,https://en.wikipedia.org/wiki/Lemberg_Airport,KJ9
30159,SNMS,small_airport,Monte Santo de Minas Airport,-21.17580032,-46.95890045,2936,SA,BR,BR-MG,Monte Santo De Minas,no,SNMS,0,,,,
12205,59CO,small_airport,Comanche Livestock Airport,39.83330154,-104.3170013,5230,NA_,US,US-CO,Strasburg,no,59CO,,59CO,,,
15631,99UT,small_airport,Sundog Airport,40.3506012,-109.401001,4900,NA_,US,US-UT,Jensen,no,99UT,,99UT,,,
17242,FA52,heliport,Advent Hospital-Sebring Heliportt,27.538057,-81.509274,154,NA_,US,US-FL,Sebring,no,FA52,,FA52,,,Florida Hospital-Sebring
299722,3FA8,seaplane_base,Searey Central SPB,28.766111,-81.74611,67,NA_,US,US-FL,Tavares,no,3FA8,,3FA8,,,
329422,SIJV,small_airport,Fazenda Santa Julieta Airport,-21.579521,-49.874464,1394,SA,BR,BR-SP,Promissão,no,SIJV,,SIJV,,,
23138,NJ93,heliport,Alexanders-Menlo Park Heliport,40.54729843,-74.34130096,82,NA_,US,US-NJ,Menlo Park,no,NJ93,,NJ93,,,
11648,4OI0,heliport,Flower Hospital Heliport,41.70840073,-83.69219971,661,NA_,US,US-OH,Sylvania,no,4OI0,,4OI0,,,
